ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,LoanSource
Hre-1_all-2,,Hre,1_all,diʔ.L dɔŋ,diʔ.L dɔŋ,,,Peiros2004a,,false,
Rengao-1_all-2,,Rengao,1_all,diʔ.T daŋ.L,diʔ.T daŋ.L,,,Peiros2004a,,false,
Didra-1_all-2,,Didra,1_all,diʔ.L dəgŋ.L,diʔ.L dəgŋ.L,,,Peiros2004a,,false,
Plang-1_all-2,,Plang,1_all,taŋ.31 ʔəik.51,taŋ.31 ʔəik.51,,,Peiros2004a,,false,
Stieng-2_ashes-1,,Stieng,2_ashes,sə=ʔoɲ,sə=ʔoɲ,,,Peiros2004a,,false,
Chrau-2_ashes-1,,Chrau,2_ashes,buh,buh,,,Peiros2004a,,false,
MBunong-2_ashes-1,,MBunong,2_ashes,buh,buh,,,Peiros2004a,,false,
MDip-2_ashes-1,,MDip,2_ashes,buh,buh,,,Peiros2004a,,false,
Ma1-2_ashes-1,,Ma1,2_ashes,kəpur ,kəpur,,,Peiros2004a,,false,
Ma2-2_ashes-1,,Ma2,2_ashes,kəbhɔk,kəbhɔk,,,Peiros2004a,,false,
Sre-2_ashes-1,,Sre,2_ashes,buh,buh,,,Peiros2004a,,false,
KahoChil-2_ashes-1,,KahoChil,2_ashes,kəbuh,kəbuh,,,Peiros2004a,,false,
KorCua-2_ashes-1,,KorCua,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Kadong-2_ashes-1,,Kadong,2_ashes,blwa,blwa,,,Peiros2004a,,false,
Hadang-2_ashes-1,,Hadang,2_ashes,plwa,plwa,,,Peiros2004a,,false,
Hre-2_ashes-1,,Hre,2_ashes,blɔ tanuh.L,blɔ tanuh.L,,,Peiros2004a,,false,
Rengao-2_ashes-1,,Rengao,2_ashes,blo.T,blo.T,,,Peiros2004a,,false,
Didra-2_ashes-1,,Didra,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Sedang-2_ashes-1,,Sedang,2_ashes,cɔi.T,cɔi.T,,,Peiros2004a,,false,
Panong-2_ashes-1,,Panong,2_ashes,lɔaʔ,lɔaʔ,,,Peiros2004a,,false,
Halang-2_ashes-1,,Halang,2_ashes,luok,luok,,,Peiros2004a,,false,
Jeh-2_ashes-1,,Jeh,2_ashes,luŋ lok,luŋ lok,,,Peiros2004a,,false,
Veh-2_ashes-1,,Veh,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Je-2_ashes-1,,Je,2_ashes,plɔ.33,plɔ.33,,,Peiros2004a,,false,
Arak-2_ashes-1,,Arak,2_ashes,pɦu,pɦu,,,Peiros2004a,,false,
Bahnar-2_ashes-1,,Bahnar,2_ashes,həjok,həjok,,,Peiros2004a,,false,
Tempuan-2_ashes-1,,Tempuan,2_ashes,mhəw,mhəw,,,Peiros2004a,,false,
Oy-2_ashes-1,,Oy,2_ashes,tuh,tuh,,,Peiros2004a,,false,
Nhaheun-2_ashes-1,,Nhaheun,2_ashes,bruk,bruk,,,Peiros2004a,,false,
Jru-2_ashes-1,,Jru,2_ashes,bruk,bruk,,,Peiros2004a,,false,
Tariang-2_ashes-1,,Tariang,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Kantu-2_ashes-1,,Kantu,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Katu-2_ashes-1,,Katu,2_ashes,bʔlɔ,bʔlɔ,,,Peiros2004a,,false,
Dakkang-2_ashes-1,,Dakkang,2_ashes,blɔ,blɔ,,,Peiros2004a,,false,
Pakoh-2_ashes-1,,Pakoh,2_ashes,ʔəbɔh,ʔəbɔh,,,Peiros2004a,,false,
Taoih-2_ashes-1,,Taoih,2_ashes,bɔh,bɔh,,,Peiros2004a,,false,
Ong-2_ashes-1,,Ong,2_ashes,bɔh.B,bɔh.B,,,Peiros2004a,,false,
Taoi-2_ashes-1,,Taoi,2_ashes,bɔ.C,bɔ.C,,,Peiros2004a,,false,
Nge-2_ashes-1,,Nge,2_ashes,bɔh,bɔh,,,Peiros2004a,,false,
Kui-2_ashes-1,,Kui,2_ashes,phâʔ.N,phâʔ.N,,,Peiros2004a,,false,
Neu-2_ashes-1,,Neu,2_ashes,phâʔ,phâʔ,,,Peiros2004a,,false,
Bru-2_ashes-1,,Bru,2_ashes,bâh.N,bâh.N,,,Peiros2004a,,false,
BruVK-2_ashes-1,,BruVK,2_ashes,bâh,bâh,,,Peiros2004a,,false,
Mak-2_ashes-1,,Mak,2_ashes,bɔʯ,bɔʯ,,,Peiros2004a,,false,
Tri-2_ashes-1,,Tri,2_ashes,bɔʌh,bɔʌh,,,Peiros2004a,,false,
Nyakur-2_ashes-1,,Nyakur,2_ashes,pətiɲ.1,pətiɲ.1,,,Peiros2004a,,false,
Mon-2_ashes-1,,Mon,2_ashes,pateŋ,pateŋ,,,Peiros2004a,,false,
Semelai-2_ashes-1,,Semelai,2_ashes,habuʔ,habuʔ,,,Peiros2004a,,true,MALAY
SemoqBeri-2_ashes-1,,SemoqBeri,2_ashes,təpəh,təpəh,,,Peiros2004a,,false,
Kensiw-2_ashes-1,,Kensiw,2_ashes,tapip,tapip,,,Peiros2004a,,false,
Jahai-2_ashes-1,,Jahai,2_ashes,ʔabuʔ ʔɔs ,ʔabuʔ ʔɔs,,,Peiros2004a,,false,
JahHut-2_ashes-1,,JahHut,2_ashes,haraŋ ,haraŋ,,,Peiros2004a,,false,
Semai-2_ashes-1,,Semai,2_ashes,gŋhəl,gŋhəl,,,Peiros2004a,,false,
Temiar-2_ashes-1,,Temiar,2_ashes,habug ,habug,,,Peiros2004a,,false,
Khmer-2_ashes-1,,Khmer,2_ashes,phəh,phəh,,,Peiros2004a,,false,
KSurin-2_ashes-1,,KSurin,2_ashes,phɛh,phɛh,,,Peiros2004a,,false,
ChongH-2_ashes-1,,ChongH,2_ashes,pɔh.B,pɔh.B,,,Peiros2004a,,false,
Chong-2_ashes-1,,Chong,2_ashes,phoh.C,phoh.C,,,Peiros2004a,,false,
Kasong-2_ashes-1,,Kasong,2_ashes,paʔu.A,paʔu.A,,,Peiros2004a,,false,
Samre-2_ashes-1,,Samre,2_ashes,pɔh.A,pɔh.A,,,Peiros2004a,,false,
PhongV-2_ashes-1,,PhongV,2_ashes,buɲ.24,buɲ.24,,,Peiros2004a,,false,
Tuum-2_ashes-1,,Tuum,2_ashes,buɲ.45,buɲ.45,,,Peiros2004a,,false,
Liha-2_ashes-1,,Liha,2_ashes,bɔn.43 bɔn.33,bɔn.43 bɔn.33,,,Peiros2004a,,false,
Cuoi-2_ashes-1,,Cuoi,2_ashes,pl.33,pl.33,,,Peiros2004a,,true,VN
Vietnamese-2_ashes-1,,Vietnamese,2_ashes,tro,tro,,,Peiros2004a,,false,
MuongKoi-2_ashes-1,,MuongKoi,2_ashes,puɲ,puɲ,,,Peiros2004a,,false,
ThoMon-2_ashes-1,,ThoMon,2_ashes,bun.33,bun.33,,,Peiros2004a,,false,
Ruc-2_ashes-1,,Ruc,2_ashes,təpɛh,təpɛh,,,Peiros2004a,,false,
Arem-2_ashes-1,,Arem,2_ashes,buɲ,buɲ,,,Peiros2004a,,false,
KhaPhong-2_ashes-1,,KhaPhong,2_ashes,buɲ.C,buɲ.C,,,Peiros2004a,,false,
Malieng-2_ashes-1,,Malieng,2_ashes,tapɛ.24 tɛn.44,tapɛ.24 tɛn.44,,,Peiros2004a,,false,
ThavungSo-2_ashes-1,,ThavungSo,2_ashes,katun bun.2,katun bun.2,,,Peiros2004a,,false,
Thavung-2_ashes-1,,Thavung,2_ashes,bun.B,bun.B,,,Peiros2004a,,false,
Mang-2_ashes-1,,Mang,2_ashes,bə.31 jɨa.553,bə.31 jɨa.553,,,Peiros2004a,,false,
Paliu-2_ashes-1,,Paliu,2_ashes,mbei.55,mbei.55,,,Peiros2004a,,false,
Bugan-2_ashes-1,,Bugan,2_ashes,se.T.31,se.T.31,,,Peiros2004a,,true,MIAO
Khmu-2_ashes-1,,Khmu,2_ashes,bɔh,bɔh,,,Peiros2004a,,false,
KxinhMul-2_ashes-1,,KxinhMul,2_ashes,bɔh.45,bɔh.45,,,Peiros2004a,,false,
Ksinmul-2_ashes-1,,Ksinmul,2_ashes,ʔəboh,ʔəboh,,,Peiros2004a,,false,
Khang-2_ashes-1,,Khang,2_ashes,ʔe.45,ʔe.45,,,Peiros2004a,,false,
Bit-2_ashes-1,,Bit,2_ashes,pɔh,pɔh,,,Peiros2004a,,false,
Mlabri-2_ashes-1,,Mlabri,2_ashes,bɔh,bɔh,,,Peiros2004a,,false,
Pray-2_ashes-1,,Pray,2_ashes,mphun kwah,mphun kwah,,,Peiros2004a,,false,
Phong-2_ashes-1,,Phong,2_ashes,bɔh,bɔh,,,Peiros2004a,,false,
Iduh-2_ashes-1,,Iduh,2_ashes,bɔ̂,bɔ̂,,,Peiros2004a,,false,
Hu-2_ashes-1,,Hu,2_ashes,pɔt.33 lu.33 ŋa,pɔt.33 lu.33 ŋa,,,Peiros2004a,,false,
Khamet-2_ashes-1,,Khamet,2_ashes,ŋɛʔ.53,ŋɛʔ.53,,,Peiros2004a,,false,
Khme-2_ashes-1,,Khme,2_ashes,ŋiʔ.53,ŋiʔ.53,,,Peiros2004a,,false,
Shuangdiang-2_ashes-1,,Shuangdiang,2_ashes,ŋhi.33,ŋhi.33,,,Peiros2004a,,false,
Yongde-2_ashes-1,,Yongde,2_ashes,ɲi.55,ɲi.55,,,Peiros2004a,,false,
Mangan-2_ashes-1,,Mangan,2_ashes,a.33 niʔ.55,a.33 niʔ.55,,,Peiros2004a,,false,
Plang-2_ashes-1,,Plang,2_ashes,ka.31 ɲu.33,ka.31 ɲu.33,,,Peiros2004a,,false,
Wa-2_ashes-1,,Wa,2_ashes,ɲauʔ,ɲauʔ,,,Peiros2004a,,false,
Guanshuang-2_ashes-1,,Guanshuang,2_ashes,ɲɔʔ.2,ɲɔʔ.2,,,Peiros2004a,,false,
